"","x","y"
"test_0",2.41170504538278,1.27900192272738
"test_1",2.42561530603996,1.98314106348521
"test_2",2.05031554274529,1.43683189519617
"test_3",1.30858448694627,2.05101480946981
"test_4",1.49961815741333,2.07694905922436
"test_5",1.94551986988476,1.62204693402764
"test_6",2.36981994738922,1.63865589894023
"test_7",2.6223956731007,2.11057111784064
"test_8",2.23413226618468,1.82910703718128
"test_9",2.05155446407382,2.57206996511076
"test_10",2.12092591996022,2.0351219843439
"test_11",1.88631792094653,2.32691653564555
"test_12",2.09124577039134,2.11246873629694
"test_13",2.12937864096269,1.90319460250603
"test_14",1.54213279951487,2.32572337544262
"test_15",-2.47606263198232,-2.62248189718736
"test_16",-1.73857667596369,-2.25842141801775
"test_17",-2.79282728058737,-2.39861955882109
"test_18",-1.42419541001705,-1.996714415162
"test_19",-1.64587629295942,-1.20073332580451
"test_20",-2.2914574773263,-2.81486434937525
"test_21",-2.20309068931962,-1.98191186077173
"test_22",-2.24808853626977,-2.39348297982534
"test_23",-1.52531643429541,-2.25269387154621
"test_24",-2.52988710546006,-3.18053211970202
"test_25",-3.19278235038003,1.41187522218886
"test_26",-2.13144188030141,0.654309782137099
"test_27",-1.23914168166152,0.843183204505454
"test_28",-1.46604908480679,0.543155772711304
"test_29",-1.86832352212732,0.609380605924463
"test_30",-2.27019405037427,0.465209034338307
"test_31",-2.38265613827353,0.926648079484643
"test_32",-1.73021547115236,1.57758182279092
"test_33",-2.33265819378889,-0.120388876029625
"test_34",-2.27583517506299,0.415365793835004
